row,Date,Speaker,Process,Recipient,codeString
968,507,R,R,H,TP1.000
969,507,H,R,R,IE1.000
970,507,X,R,H,UC1.000
971,507,H,R,X,GO1.000
972,507,R,R,H,EA1.000
974,507,X,R,H,TP1.000
976,507,H,R,X,TP1.000
977,507,H,R,X,0.333EAIE/GOTP
978,507,X,R,H,UC1.000
979,507,H,R,X,OF1.000
980,507,X,R,H,OF1.000
981,507,C,R,X,OF1.000
982,507,X,R,C,TP1.000
983,507,R,R,X,TP1.000
985,507,R,R,C,OF1.000
986,507,H,R,R,OF1.000
987,507,R,R,C,OF1.000
988,507,C,R,R,IE1.000
988,507,C,R,R,OF1.000
989,507,R,R,C,TP1.000
990,507,C,R,R,TP1.000
991,507,R,R,C,IE1.000
992,507,C,R,R,IE1.000
993,507,H,R,UC,0.333IEKSTP
994,507,R,R,UC,TP1.000
995,507,C,R,R,0.333IEKSTP
996,507,R,R,UC,TP1.000
997,507,X,R,UC,IE1.000
998,507,H,R,UC,IE1.000
1036,507,X,S,GT,TP1.000
1037,507,H,S,GT,TP1.000
1038,507,R,S,UC,0.333IEKSTP
1039,507,C,S,GT,KS1.000
1040,507,H,S,GT,KS1.000
1041,507,X,S,H,KS1.000
1042,507,R,S,H,TP1.000
1044,507,X,S,H,KS1.000
1045,507,R,S,C,KS1.000
1047,507,R,S,C,IE1.000
1048,507,C,S,R,IE1.000
1049,507,R,S,C,KS1.000
1050,507,C,S,R,KS1.000
1051,507,R,S,C,IE1.000
1052,507,C,S,R,IE1.000
1053,507,R,S,C,IE1.000
1058,507,C,S,R,0.500IETP
1059,507,R,S,C,0.500IEKS
1060,507,C,S,R,TP1.000
1061,507,X,S,GT,0.500IETP
1062,507,C,S,R,0.500IETP
1063,507,R,S,C,TP1.000
1064,507,X,S,GT,TP1.000
1065,507,C,S,R,0.500IEKS
1066,507,H,S,C,IE1.000
1067,507,C,S,H,0.500KSTP/GO
1068,507,X,S,C,0.500IETP
1069,507,C,S,X,KS1.000
1077,507,C,S,R,IE1.000
1078,507,R,S,C,0.500EAGO
1079,507,X,S,C,IE1.000
1080,507,X,S,C,0.500IEKS
1081,507,C,S,X,EA1.000
1082,507,X,S,R,0.500IEKS
1083,507,R,S,X,IE1.000
1084,507,H,S,C,IE1.000
1085,507,C,S,GT,IE1.000
1086,507,R,S,C,0.500IEUC
1087,507,C,S,R,IE1.000
1088,507,R,S,C,TP1.000
1089,507,X,S,R,IE1.000
1090,507,R,S,X,TP1.000
1092,507,C,S,R,IE1.000
1093,507,X,S,GT,IE1.000
1094,507,H,S,GT,TP1.000
1095,507,C,S,GT,TP1.000
1097,507,C,S,R,0.500KSTP/IE
1098,507,R,S,C,IE1.000
1099,507,X,S,R,0.500IETP
1100,507,C,S,X,0.500IETP
1102,507,R,S,H,TP1.000
1103,507,H,S,R,TP1.000
1104,507,X,S,R,TP1.000
1105,507,R,S,GT,TP1.000
1106,507,H,S,GT,GO1.000
1108,507,R,S,GT,0.500EAIE
1109,507,C,S,R,TP1.000
1111,507,C,S,GT,IE1.000
1111,507,C,S,GT,TP1.000
1112,507,H,S,C,EA1.000
1112,507,H,S,C,TP1.000
1113,507,C,S,GT,TP1.000
1115,507,H,S,GT,IE1.000
1117,507,H,S,C,IE1.000
1118,507,R,S,H,0.500IETP
1118,507,R,S,H,0.500IETP
1119,507,H,S,R,TP1.000
1120,507,H,S,R,TP1.000
1121,507,R,S,H,TP1.000
1122,507,C,S,R,TP1.000
1123,507,R,S,GT,TP1.000
1124,507,H,S,R,IE1.000
1125,507,R,S,GT,TP1.000
1126,507,X,S,GT,TP1.000
1127,507,C,S,GT,0.500KS/OFTP
1128,507,R,S,GT,IE1.000
1129,507,R,S,GT,EA1.000
1130,507,X,S,GT,OF1.000
1133,507,H,S,C,TP1.000
1134,507,X,S,GT,0.500IETP
1135,507,H,S,X,TP1.000
1136,507,C,S,GT,0.500IETP
1137,507,R,S,GT,0.500EATP
1137,507,R,S,GT,OF1.000
1138,507,X,S,GT,IE1.000
1140,507,R,S,GT,0.500IEOF
